iter	Passed	Remaining
832	8485	6794
833	8494	6783
834	8504	6772
835	8513	6761
836	8522	6750
837	8531	6739
838	8539	6727
839	8548	6716
840	8556	6705
841	8564	6693
842	8573	6681
843	8581	6669
844	8589	6658
845	8621	6665
846	8650	6668
847	8660	6658
848	8673	6650
849	8685	6641
850	8695	6631
851	8714	6627
852	8726	6618
853	8735	6607
854	8745	6597
855	8754	6586
856	8764	6575
857	8772	6564
858	8782	6553
859	8790	6542
860	8800	6531
861	8808	6519
862	8816	6507
863	8825	6496
864	8833	6484
865	8845	6475
866	8862	6470
867	8879	6465
868	8892	6457
869	8902	6446
870	8914	6437
871	8924	6427
872	8932	6415
873	8943	6405
874	8952	6394
875	8961	6383
876	8970	6372
877	8979	6361
878	8988	6350
879	8996	6338
880	9005	6327
881	9013	6315
882	9022	6304
883	9032	6293
884	9041	6283
885	9050	6272
886	9060	6261
887	9070	6251
888	9080	6240
889	9089	6230
890	9099	6219
891	9109	6209
892	9118	6198
893	9127	6186
894	9135	6175
895	9144	6164
896	9152	6152
897	9160	6141
898	9170	6130
899	9178	6119
900	9187	6108
901	9196	6096
902	9204	6085
903	9213	6074
904	9222	6063
905	9232	6052
906	9241	6041
907	9249	6030
908	9258	6019
909	9268	6009
910	9278	5999
911	9288	5988
912	9296	5977
913	9305	5966
914	9313	5954
915	9321	5942
916	9329	5931
917	9337	5919
918	9345	5908
919	9353	5896
920	9361	5885
921	9369	5873
922	9378	5862
923	9388	5852
924	9396	5841
925	9404	5829
926	9413	5818
927	9421	5807
928	9431	5796
929	9438	5784
930	9448	5774
931	9458	5764
932	9468	5754
933	9480	5745
934	9514	5749
935	9536	5746
936	9546	5735
937	9559	5727
938	9569	5717
939	9578	5706
940	9586	5695
941	9595	5684
942	9605	5673
943	9614	5662
944	9622	5651
945	9631	5640
946	9639	5629
947	9649	5618
948	9665	5611
949	9676	5602
950	9685	5591
951	9696	5581
952	9705	5570
953	9714	5559
954	9723	5548
955	9732	5538
956	9740	5526
957	9749	5515
958	9758	5504
959	9766	5493
960	9775	5483
961	9784	5472
962	9794	5461
963	9803	5450
964	9811	5439
965	9819	5428
966	9828	5417
967	9838	5407
968	9848	5396
969	9858	5386
970	9866	5375
971	9875	5364
972	9883	5352
973	9892	5342
974	9901	5331
975	9909	5320
976	9917	5309
977	9925	5297
978	9935	5287
979	9943	5276
980	9952	5265
981	9961	5254
982	9982	5250
983	10006	5247
984	10027	5242
985	10042	5235
986	10054	5225
987	10064	5215
988	10077	5206
989	10086	5195
990	10094	5184
991	10102	5173
992	10110	5162
993	10119	5151
994	10127	5140
995	10137	5129
996	10144	5117
997	10152	5106
998	10160	5095
999	10169	5084
1000	10177	5073
1001	10186	5062
1002	10195	5051
1003	10202	5040
1004	10211	5029
1005	10230	5023
1006	10272	5028
1007	10286	5020
1008	10296	5010
1009	10312	5003
1010	10322	4992
1011	10332	4982
1012	10341	4971
1013	10350	4960
1014	10358	4949
1015	10366	4938
1016	10376	4927
1017	10384	4916
1018	10393	4906
1019	10402	4895
1020	10413	4885
1021	10423	4874
1022	10433	4864
1023	10442	4854
1024	10451	4843
1025	10460	4832
1026	10469	4821
1027	10478	4811
1028	10487	4800
1029	10495	4789
1030	10504	4778
1031	10511	4767
1032	10520	4756
1033	10528	4744
1034	10537	4734
1035	10545	4722
1036	10553	4712
1037	10561	4700
1038	10570	4690
